#(id,from,to,speed,planTime)
(10000, 2, 31, 4, 3)
(10001, 2, 20, 4, 6)
(10002, 27, 2, 4, 5)
(10003, 1, 28, 2, 3)
(10004, 15, 34, 2, 1)
(10005, 17, 35, 4, 5)
(10006, 14, 33, 2, 6)
(10007, 29, 4, 4, 3)
(10008, 5, 23, 2, 6)
(10009, 36, 7, 2, 2)
(10010, 4, 36, 6, 2)
(10011, 31, 10, 6, 2)
(10012, 1, 25, 4, 1)
(10013, 10, 30, 2, 1)
(10014, 11, 29, 4, 3)
(10015, 5, 26, 2, 6)
(10016, 32, 8, 2, 4)
(10017, 3, 22, 4, 6)
(10018, 12, 30, 2, 4)
(10019, 15, 33, 6, 2)
(10020, 22, 2, 6, 4)
(10021, 24, 3, 6, 4)
(10022, 17, 35, 2, 1)
(10023, 35, 12, 4, 2)
(10024, 30, 9, 2, 3)
(10025, 34, 6, 2, 3)
(10026, 35, 14, 6, 1)
(10027, 21, 2, 6, 6)
(10028, 29, 2, 6, 3)
(10029, 3, 25, 6, 3)
(10030, 2, 34, 4, 3)
(10031, 7, 34, 4, 2)
(10032, 17, 36, 4, 6)
(10033, 19, 1, 6, 3)
(10034, 3, 25, 4, 4)
(10035, 1, 21, 4, 3)
(10036, 34, 6, 6, 5)
(10037, 6, 24, 2, 5)
(10038, 22, 4, 4, 5)
(10039, 29, 9, 4, 2)
(10040, 30, 1, 4, 5)
(10041, 12, 36, 2, 6)
(10042, 14, 34, 2, 2)
(10043, 30, 12, 4, 1)
(10044, 5, 31, 2, 4)
(10045, 4, 28, 2, 2)
(10046, 16, 35, 4, 6)
(10047, 13, 34, 4, 4)
(10048, 29, 4, 6, 3)
(10049, 36, 7, 2, 5)
(10050, 35, 2, 4, 4)
(10051, 10, 30, 2, 2)
(10052, 19, 1, 6, 1)
(10053, 18, 36, 6, 4)
(10054, 31, 8, 2, 3)
(10055, 36, 18, 6, 5)
(10056, 1, 34, 6, 6)
(10057, 26, 4, 2, 2)
(10058, 14, 36, 6, 3)
(10059, 9, 30, 2, 6)
(10060, 21, 1, 4, 1)
(10061, 5, 23, 4, 4)
(10062, 14, 33, 4, 2)
(10063, 17, 36, 2, 1)
(10064, 5, 35, 6, 5)
(10065, 5, 29, 4, 5)
(10066, 19, 1, 4, 6)
(10067, 10, 34, 4, 4)
(10068, 29, 7, 2, 3)
(10069, 7, 32, 6, 5)
(10070, 2, 26, 6, 4)
(10071, 11, 29, 2, 5)
(10072, 34, 16, 6, 4)
(10073, 20, 2, 2, 2)
(10074, 26, 4, 6, 3)
(10075, 17, 36, 4, 5)
(10076, 32, 11, 6, 4)
(10077, 32, 2, 2, 3)
(10078, 30, 5, 2, 4)
(10079, 30, 6, 6, 5)
(10080, 4, 23, 4, 2)
(10081, 20, 1, 4, 4)
(10082, 26, 2, 2, 1)
(10083, 12, 31, 2, 5)
(10084, 34, 3, 2, 4)
(10085, 24, 6, 4, 2)
(10086, 21, 2, 6, 6)
(10087, 8, 34, 6, 1)
(10088, 4, 34, 6, 5)
(10089, 31, 12, 4, 3)
(10090, 7, 36, 4, 1)
(10091, 22, 2, 6, 4)
(10092, 36, 18, 6, 5)
(10093, 22, 1, 6, 2)
(10094, 32, 7, 6, 1)
(10095, 14, 32, 4, 2)
(10096, 6, 30, 6, 6)
(10097, 2, 22, 6, 4)
(10098, 23, 5, 6, 5)
(10099, 12, 34, 4, 5)
(10100, 9, 27, 2, 2)


